model,threshold,precision,recall,f1
dummy_most_frequent,0.2,0.0,0.0,0.0
dummy_most_frequent,0.3,0.0,0.0,0.0
dummy_most_frequent,0.4,0.0,0.0,0.0
dummy_most_frequent,0.5,0.0,0.0,0.0
dummy_most_frequent,0.6,0.0,0.0,0.0
logistic_regression_balanced,0.2,0.2775717036586602,0.9975596430522673,0.43429930624380575
logistic_regression_balanced,0.3,0.2966085585535217,0.9661628118739756,0.4538781376726041
logistic_regression_balanced,0.4,0.3300042783036526,0.8990347841923148,0.4827923443291508
logistic_regression_balanced,0.5,0.3749675003899953,0.7879439082134402,0.5081270258843426
logistic_regression_balanced,0.6,0.43683256588615654,0.649608450191222,0.5223847809850183
random_forest_balanced,0.2,0.28067273511825264,0.9950464396284829,0.43784307911755044
random_forest_balanced,0.3,0.3116071958677195,0.9558186122746312,0.4699919405390884
random_forest_balanced,0.4,0.3552566762699467,0.866836641777454,0.5039705228384473
random_forest_balanced,0.5,0.41019740825965845,0.7401930431615371,0.527864722002156
random_forest_balanced,0.6,0.4814466743466925,0.5784374430886906,0.5255042107178902
xgboost_classifier,0.2,0.36763957776929923,0.8423238025860499,0.5118693212629621
xgboost_classifier,0.3,0.4487727710902934,0.6613003095975232,0.534691954293792
xgboost_classifier,0.4,0.5337646583097453,0.48078674194135856,0.5058924978442081
xgboost_classifier,0.5,0.6179838823695745,0.31841194682207247,0.42027835869330066
xgboost_classifier,0.6,0.7076541922023732,0.19766891276634493,0.3090194738640246
